,City,Lat,Lng,Max Temp (F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Country,Data
40,Lompoc,34.6391,-120.4579,44.01,93,1,1.81,US,1610465029
41,Bethel,41.3712,-73.414,34.0,74,1,2.89,US,1610465029
42,Aného,6.2333,1.6,89.6,55,20,13.8,TG,1610465029
43,São Filipe,14.8961,-24.4956,70.9,69,18,12.48,CV,1610465029
44,Dikson,73.5069,80.5464,8.8,96,100,10.76,RU,1610465030
45,Khatanga,71.9667,102.5,-22.83,88,100,2.84,RU,1610465030
46,Husavik,66.0449,-17.3389,8.6,92,0,5.75,IS,1610465030
47,Flin Flon,54.7682,-101.865,19.4,86,20,6.91,CA,1610465030
48,Honiara,-9.4333,159.95,75.63,89,100,3.67,SB,1610465030
49,Hermanus,-34.4187,19.2345,75.0,78,90,8.99,ZA,1610465030
50,Broome,42.2506,-75.833,32.0,69,90,3.44,US,1610465032
51,Owo,7.1962,5.5868,98.89,18,8,0.51,NG,1610465032
52,Saryozek,44.3583,77.9753,28.65,91,100,4.36,KZ,1610465032
53,Cape Town,-33.9258,18.4232,78.01,61,0,17.27,ZA,1610465000
54,Mataura,-46.1927,168.8643,55.99,86,18,1.01,NZ,1610465032
55,Ribeira Grande,38.5167,-28.7,60.8,94,90,23.02,PT,1610465032
56,Saint-Philippe,-21.3585,55.7679,78.8,83,75,4.61,RE,1610465033
57,New Norfolk,-42.7826,147.0587,55.99,70,55,1.57,AU,1610465033
58,Qaqortoq,60.7167,-46.0333,44.6,33,75,13.8,GL,1610465033
59,Plettenberg Bay,-34.0527,23.3716,70.86,89,87,19.62,ZA,1610465033
60,Hasaki,35.7333,140.8333,37.4,93,75,5.75,JP,1610465033
61,Hambantota,6.1241,81.1185,75.2,100,75,5.75,LK,1610465033
62,Manokwari,-0.8667,134.0833,80.02,80,59,2.66,ID,1610465034
63,Maturin,9.75,-63.1767,82.06,64,80,6.91,VE,1610465034
64,Kavieng,-2.5744,150.7967,82.72,78,21,16.64,PG,1610465034
65,Sibolga,1.7427,98.7792,77.05,82,98,1.9,ID,1610465034
66,Comodoro Rivadavia,-45.8667,-67.5,69.8,30,40,13.8,AR,1610464881
67,Ilulissat,69.2167,-51.1,19.4,86,75,2.3,GL,1610465034
68,Rondonópolis,-16.4708,-54.6356,98.78,36,23,2.24,BR,1610464999
69,Alofi,-19.0595,-169.9187,75.2,100,51,4.61,NU,1610465035
70,Bambous Virieux,-20.3428,57.7575,80.6,89,40,17.27,MU,1610465035
71,Viedma,-40.8135,-62.9967,75.0,18,0,1.01,AR,1610465035
72,Chokurdakh,70.6333,147.9167,-38.29,82,1,0.92,RU,1610465035
73,Santa Fe,-31.6333,-60.7,78.01,53,100,5.01,AR,1610464816
74,Baní,18.2833,-70.3333,82.4,69,40,11.5,DO,1610464842
75,Talavera de la Reina,39.9635,-4.8308,45.39,56,0,3.49,ES,1610465036
76,Kosonsoy,41.2561,71.5508,33.8,60,100,2.3,UZ,1610465036
77,Saint Paul Harbor,57.79,-152.4072,33.8,93,90,10.36,US,1610465036
78,Zitsa,39.6943,20.6372,50.0,66,9,11.5,GR,1610465036
79,Port Lincoln,-34.7333,135.8667,61.57,80,69,10.58,AU,1610465037
80,Jiazi,22.8779,116.067,50.52,46,0,7.45,CN,1610465037
81,Vardø,70.3705,31.1107,12.2,73,0,27.63,NO,1610464744
82,Atocha,-20.9333,-66.2333,60.31,36,79,13.49,BO,1610465037
83,Yangi Marg`ilon,40.4272,71.7189,33.8,60,100,2.3,UZ,1610465037
84,Sitka,57.0531,-135.33,42.8,70,90,9.22,US,1610465037
85,Talakan,50.3167,130.3667,-4.9,90,100,5.17,RU,1610465038
86,Laguna,38.421,-121.4238,45.0,87,1,1.28,US,1610465038
87,Voitsberg,47.0333,15.15,28.99,74,40,2.3,AT,1610465038
88,Rikitea,-23.1203,-134.9692,77.59,78,8,18.66,PF,1610465038
89,Piet Retief,-27.0071,30.8132,77.11,58,82,6.6,ZA,1610465038
90,Hobart,-42.8794,147.3294,55.99,82,90,6.91,AU,1610465039
91,Severnyy,50.677,36.5532,26.6,80,75,4.47,RU,1610465039
92,Antsohihy,-14.8796,47.9875,82.2,80,3,4.09,MG,1610465039
93,Lichuan,30.3,108.85,29.86,84,0,0.49,CN,1610465039
94,Ostrovnoy,68.0531,39.5131,3.18,89,0,18.59,RU,1610465039
95,Henties Bay,-22.116,14.2845,66.83,80,53,8.75,NA,1610465039
96,Saskylakh,71.9167,114.0833,-26.84,84,100,2.55,RU,1610465040
97,Porto-Novo,6.4965,2.6036,87.8,70,20,12.66,BJ,1610465006
98,Ambon City,-3.6954,128.1814,84.0,88,81,4.21,ID,1610465040
99,Berekum,7.4534,-2.584,97.9,31,25,0.18,GH,1610465040
100,Makakilo City,21.3469,-158.0858,71.6,77,1,5.86,US,1610465042
101,Bredasdorp,-34.5322,20.0403,69.8,83,100,16.11,ZA,1610465042
102,Carutapera,-1.195,-46.02,83.88,73,100,7.36,BR,1610465042
103,Bathsheba,13.2167,-59.5167,84.2,65,40,17.27,BB,1610465042
104,Vilcún,-38.65,-72.2333,62.6,48,0,11.5,CL,1610465042
105,Vila Franca do Campo,37.7167,-25.4333,60.8,94,75,11.5,PT,1610465043
106,Nyurba,63.2842,118.3319,-41.06,80,98,3.62,RU,1610465043
107,Blagodatnoye,45.3997,42.5867,30.2,100,90,13.42,RU,1610465043
108,Carnarvon,-24.8667,113.6333,78.8,78,5,23.02,AU,1610464914
109,Ahipara,-35.1667,173.1667,61.34,92,10,5.12,NZ,1610465044
110,Campestre,-21.7111,-46.2464,69.8,100,75,6.29,BR,1610465044
111,Sambava,-14.2667,50.1667,81.88,73,2,2.01,MG,1610464769
112,Cidreira,-30.1811,-50.2056,80.37,73,98,9.51,BR,1610465045
113,Province of Mantua,45.1667,10.7833,39.0,80,100,3.0,IT,1610465045
114,Nerchinskiy Zavod,51.3088,119.61,-10.53,90,100,1.43,RU,1610465045
115,Yanam,16.7333,82.2167,77.0,83,50,5.75,IN,1610465045
116,Butaritari,3.0707,172.7902,80.62,82,49,20.8,KI,1610465045
117,Darhan,49.4867,105.9228,-2.15,86,100,2.73,MN,1610465045
118,Normandin,48.8333,-72.5321,23.0,93,13,3.44,CA,1610465046
119,Koratla,18.8167,78.7167,74.43,44,57,4.38,IN,1610465046
120,Shetpe,44.1667,52.1167,28.81,94,0,5.35,KZ,1610465046
121,Ternate,0.8,127.4,81.99,77,62,6.04,ID,1610465046
122,Cockburn Town,21.4612,-71.1419,78.8,69,40,13.8,TC,1610465046
123,Luoyang,34.6836,112.4536,45.0,99,0,8.39,CN,1610465046
124,Erenhot,43.6475,111.9767,10.63,88,17,17.16,CN,1610465046
125,Dingle,10.9995,122.6711,73.13,86,100,10.4,PH,1610465047
126,Camacupa,-12.0167,17.4833,73.74,80,8,0.78,AO,1610465047
127,Mercedes,-34.6515,-59.4307,75.0,31,19,1.99,AR,1610465047
128,Sola,-13.8833,167.55,83.64,78,100,5.06,VU,1610465047
129,Mount Gambier,-37.8333,140.7667,48.2,87,32,5.75,AU,1610465047
130,Mahébourg,-20.4081,57.7,80.6,89,40,17.27,MU,1610465048
131,Oranjemund,-28.55,16.4333,69.71,74,4,13.82,NA,1610465048
132,Ponta do Sol,32.6667,-17.1,60.8,55,75,11.5,PT,1610465048
133,Hofn,64.2539,-15.2082,30.78,86,1,7.54,IS,1610465048
134,Birjand,32.8663,59.2211,39.2,7,0,2.15,IR,1610465049
135,Soe,-9.8607,124.284,68.76,100,100,1.66,ID,1610465049
136,Marsá Maţrūḩ,31.3525,27.2453,75.2,33,100,16.11,EG,1610465050
137,Castro,-24.7911,-50.0119,78.75,68,74,4.5,BR,1610465050
138,Misratah,32.3754,15.0925,61.47,60,98,26.33,LY,1610465050
139,Avera,33.194,-82.5271,44.6,86,90,6.91,US,1610465050
140,Port Alfred,-33.5906,26.891,69.01,95,98,3.0,ZA,1610465050
141,Praia,14.9215,-23.5087,77.0,57,75,21.85,CV,1610465051
142,Kaseda-shirakame,31.4167,130.3167,35.6,64,20,2.3,JP,1610464996
143,Kipini,-2.5257,40.5262,79.16,76,0,17.38,KE,1610465051
144,Wilkie,52.4168,-108.7014,19.4,79,1,6.91,CA,1610465051
145,Jasper,37.2001,-94.3502,37.0,69,1,13.8,US,1610465051
146,Bengkulu,-3.8004,102.2655,75.51,88,100,4.25,ID,1610465052
147,Ouésso,1.6136,16.0517,86.67,50,87,1.61,CG,1610464949
148,Dunhua,43.3725,128.2425,14.0,95,100,8.84,CN,1610465052
149,Airai,-8.9266,125.4092,62.56,100,95,2.06,TL,1610465052
150,Gondanglegi,-7.7479,112.0132,77.63,88,100,0.87,ID,1610465053
151,Bandarbeyla,9.4942,50.8122,74.05,72,7,25.79,SO,1610465053
152,Murgab,37.4966,61.9714,42.8,87,0,4.61,TM,1610465053
153,Hwange,-18.3693,26.5019,84.51,61,58,5.41,ZW,1610465054
154,Mt. Pleasant,32.7941,-79.8626,48.2,100,90,9.22,US,1610465054
155,Dwārka,22.2394,68.9678,70.84,48,0,7.63,IN,1610465054
156,Vangaindrano,-23.35,47.6,80.51,76,0,6.08,MG,1610465054
157,Dauphin,51.1494,-100.0502,25.34,93,66,11.18,CA,1610465054
158,Severo-Yeniseyskiy,60.3725,93.0408,-27.49,86,89,2.44,RU,1610465054
159,Xai-Xai,-25.0519,33.6442,82.87,59,0,9.69,MZ,1610465055
160,Changtu,42.7788,124.0955,13.1,86,33,3.98,CN,1610465055
161,Departamento de Maldonado,-34.6667,-54.9167,68.0,49,75,9.22,UY,1610464911
162,Zhigansk,66.7697,123.3711,-45.74,78,81,9.44,RU,1610465055
163,Nanortalik,60.1432,-45.2371,32.49,90,100,7.96,GL,1610465055
164,Nantucket,41.2835,-70.0995,39.2,65,1,13.8,US,1610465055
165,Mildura,-34.2,142.15,66.2,32,0,3.44,AU,1610465056
166,Faanui,-16.4833,-151.75,81.01,77,100,21.14,PF,1610465056
167,Okha,53.5739,142.9478,-18.92,86,0,3.36,RU,1610465056
168,Te Anau,-45.4167,167.7167,50.65,90,19,1.54,NZ,1610465056
169,Paraná,-31.732,-60.5238,79.0,56,100,1.99,AR,1610465056
170,Biltine,14.5333,20.9167,90.91,10,0,6.02,TD,1610465056
171,Caravelas,-17.7125,-39.2481,86.04,56,0,9.37,BR,1610465056
172,Itaituba,-4.2761,-55.9836,89.6,66,40,3.44,BR,1610465057
173,Severo-Kuril'sk,50.6789,156.125,17.83,90,96,15.75,RU,1610465057
174,El Paujíl,1.5701,-75.3286,75.58,82,76,3.22,CO,1610465057
175,Bogorodskoye,56.55,37.8833,-3.89,92,84,5.82,RU,1610465057
176,Kiama,-34.6833,150.8667,70.0,91,11,1.01,AU,1610465057
177,Pacifica,37.6138,-122.4869,53.01,93,75,2.21,US,1610465057
178,Alekseyevka,50.6309,38.6903,22.95,95,87,3.6,RU,1610465058
179,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-2.2,84,2,6.71,RU,1610465058
180,Inuvik,68.3499,-133.7218,5.0,85,95,1.14,CA,1610465058
181,Kaitangata,-46.2817,169.8464,52.66,95,25,3.29,NZ,1610465058
182,Marzuq,14.4,46.4667,62.11,30,0,8.3,YE,1610465058
183,Coruripe,-10.1256,-36.1756,86.85,55,18,13.71,BR,1610465058
184,Anadyr,64.75,177.4833,-20.0,76,100,11.18,RU,1610465059
185,Vanderhoof,54.0166,-124.0198,35.82,85,100,9.51,CA,1610465059
186,Sechura,-5.5569,-80.8222,78.53,58,0,9.6,PE,1610465059
187,North Platte,41.1239,-100.7654,23.0,80,1,5.75,US,1610464828
188,Torbay,47.6666,-52.7314,30.0,74,90,6.91,CA,1610465059
189,Abaza,52.655,90.0928,-2.67,88,100,2.86,RU,1610465059
190,Narsaq,60.9167,-46.05,44.6,33,75,13.8,GL,1610464763
191,Upernavik,72.7868,-56.1549,19.53,96,100,3.29,GL,1610465060
192,Aksu,41.1231,80.2644,15.3,77,30,4.83,CN,1610465060
193,Tuktoyaktuk,69.4541,-133.0374,1.4,85,90,17.27,CA,1610465060
194,Cairns,-16.9167,145.7667,78.01,94,90,2.3,AU,1610465060
195,At-Bashi,41.1702,75.8106,13.84,57,49,1.92,KG,1610464891
196,Muhos,64.808,25.9931,3.2,72,100,23.02,FI,1610465060
197,Geraldton,-28.7667,114.6,71.6,73,90,20.71,AU,1610465061
198,Hong Kong,22.2855,114.1577,55.0,37,28,8.28,HK,1610464814
199,Aktas,49.7789,72.9608,1.4,78,90,29.08,KZ,1610465061
200,Hoskote,14.2769,77.1699,73.54,58,70,13.44,IN,1610465062
201,Monrovia,6.3005,-10.7969,86.0,74,75,9.22,LR,1610465062
202,Nikolskoye,59.7035,30.7861,12.2,85,90,17.9,RU,1610465062
203,Río Gallegos,-51.6226,-69.2181,57.2,33,40,32.21,AR,1610464888
204,Mar del Plata,-38.0023,-57.5575,69.8,32,0,4.61,AR,1610465063
205,Muros,42.7762,-9.0603,54.0,64,0,4.21,ES,1610465063
206,Aklavik,68.2191,-135.0107,5.0,85,100,1.14,CA,1610465063
207,Gueugnon,46.6036,4.0629,39.99,93,90,5.75,FR,1610465063
208,Kruisfontein,-34.0033,24.7314,72.0,87,99,4.0,ZA,1610465063
209,Shemysheyka,52.892,45.3928,4.82,95,80,2.86,RU,1610465063
210,Konëvo,62.1215,39.3192,-17.21,88,0,4.38,RU,1610465064
211,Sakakah,29.9697,40.2064,60.8,29,0,4.61,SA,1610465064
212,Mumford,5.2618,-0.759,83.07,73,9,14.2,GH,1610465064
213,Ladário,-19.0047,-57.6017,91.4,62,20,3.44,BR,1610465064
214,Magdagachi,53.45,125.8,-15.93,89,100,4.5,RU,1610465065
215,Irtyshskiy,58.3333,68.1333,-22.49,87,26,6.35,RU,1610465065
216,Kondinskoye,59.6481,67.41,-22.92,86,26,5.68,RU,1610465065
217,Tuxpan,19.55,-103.4,69.8,56,40,0.89,MX,1610465065
218,Penzance,50.1186,-5.5371,50.0,100,75,24.16,GB,1610465065
219,Asău,46.4333,26.4,32.0,100,75,6.91,RO,1610465066
220,Doka,13.5167,35.7667,87.73,17,64,7.7,SD,1610465066
221,Bowen,-20.0167,148.2333,77.0,88,75,8.05,AU,1610465066
222,Flinders,-34.5833,150.8552,70.0,91,12,1.01,AU,1610465066
223,Pochutla,15.7432,-96.4661,80.01,65,1,1.48,MX,1610465066
224,Ormara,25.2088,64.6357,70.81,34,42,6.24,PK,1610465066
225,Ponta Delgada,37.7333,-25.6667,60.8,94,75,11.5,PT,1610465067
226,Sobolevo,54.4299,31.8996,21.94,98,100,9.91,RU,1610465067
227,Hailar,49.2,119.7,-5.3,92,100,4.72,CN,1610465067
228,Norman Wells,65.282,-126.8329,-14.8,76,1,5.75,CA,1610465067
229,Byron Bay,-28.65,153.6167,66.2,88,40,3.44,AU,1610465067
230,Diffa,13.3154,12.6113,87.93,12,0,11.54,NE,1610465068
231,Saint-Augustin,51.226,-58.6502,16.0,81,20,6.35,CA,1610465068
232,Moerai,-22.4333,-151.3333,79.93,74,70,15.19,PF,1610465068
233,Tasiilaq,65.6145,-37.6368,33.8,69,90,26.46,GL,1610465068
234,Sioux Lookout,50.1001,-91.917,23.0,93,90,9.22,CA,1610465068
235,Nabire,-3.3667,135.4833,75.79,92,100,5.7,ID,1610465068
236,Zaykovo,57.5613,62.7568,-15.5,88,100,5.21,RU,1610465069
237,Portland,45.5234,-122.6762,55.4,88,90,17.27,US,1610464535
238,Candelaria,13.9311,121.4233,75.99,77,39,7.0,PH,1610465069
239,Great Falls,47.5002,-111.3008,37.4,48,1,11.5,US,1610464327
240,Eirunepé,-6.6603,-69.8736,81.66,77,94,4.14,BR,1610465069
241,Pedernales,18.0384,-71.744,81.72,56,100,0.11,DO,1610465070
242,Touros,-5.1989,-35.4608,75.2,94,75,6.91,BR,1610465070
243,Amahai,-3.3333,128.9167,84.0,88,96,2.68,ID,1610465070
244,Prince Rupert,54.3161,-130.3201,44.6,87,40,10.36,CA,1610465070
245,Ixtapa,20.7,-105.2,57.2,88,40,3.44,MX,1610465070
246,Beringovskiy,63.05,179.3167,-17.09,87,100,13.22,RU,1610465071
247,Nago,26.5881,127.9761,55.4,71,40,6.91,JP,1610465071
248,San Patricio,28.017,-97.5169,37.4,87,90,10.36,US,1610465071
249,Haikou,20.0458,110.3417,44.6,76,0,6.71,CN,1610465071
250,Necochea,-38.5473,-58.7368,71.04,27,0,9.06,AR,1610464880
251,Klaksvík,62.2266,-6.589,35.6,75,75,13.8,FO,1610465073
252,Warrnambool,-38.3833,142.4833,50.0,91,24,8.3,AU,1610465073
253,Mezhova,48.2532,36.7347,24.98,96,100,7.99,UA,1610465073
254,Tauá,-5.9667,-40.3,88.09,48,100,2.84,BR,1610465073
255,Evinayong,1.4368,10.5512,76.3,86,77,3.67,GQ,1610465073
256,Chui,-33.6971,-53.4616,71.74,48,97,12.28,UY,1610465073
257,Waddān,29.1614,16.139,67.66,41,100,14.27,LY,1610465073
258,The Valley,18.217,-63.0578,82.4,65,75,13.8,AI,1610465074
259,Iranshahr,27.2025,60.6848,59.0,10,0,2.57,IR,1610465074
260,Alanya,36.5438,31.9998,62.6,88,75,1.48,TR,1610465074
261,Evensk,61.95,159.2333,-0.63,83,100,1.95,RU,1610465074
262,Xichang,27.8964,102.2634,33.85,88,100,1.61,CN,1610465074
263,Leningradskiy,69.3833,178.4167,-21.93,82,91,17.22,RU,1610465075
264,Nome,64.5011,-165.4064,8.6,78,1,10.36,US,1610465075
265,Faya,18.3851,42.4509,53.6,71,75,9.22,SA,1610465075
266,Xique-Xique,-10.8218,-42.7263,89.22,49,1,4.14,BR,1610465075
267,Takoradze,4.8845,-1.7554,84.18,70,24,11.36,GH,1610465075
268,Sorong,-0.8833,131.25,81.7,78,97,4.43,ID,1610465075
269,Tampa,27.9475,-82.4584,62.01,77,90,4.61,US,1610464922
270,Catolé do Rocha,-6.3439,-37.7467,84.79,54,100,4.09,BR,1610465076
271,Guatire,10.4762,-66.5427,77.0,83,40,5.75,VE,1610465076
272,Ploemeur,47.7333,-3.4333,51.8,93,90,12.66,FR,1610465076
273,Kamenka,51.3223,42.7678,21.99,85,64,2.89,RU,1610465076
274,Palmer,42.1584,-72.3287,32.0,93,75,5.7,US,1610465076
275,Solano,38.2333,-121.9511,45.0,93,1,0.74,US,1610465077
276,Haines Junction,60.7522,-137.5108,8.6,92,100,1.14,CA,1610465077
277,Nurota,40.5614,65.6886,41.0,56,95,2.3,UZ,1610465077
278,Garden City,42.3256,-83.331,30.2,80,90,14.97,US,1610464921
279,Mogadishu,2.0371,45.3438,78.26,70,0,23.71,SO,1610465057
280,Singaraja,-8.112,115.0882,82.13,76,97,2.33,ID,1610464907
281,Gimli,50.6336,-96.9907,17.6,86,75,10.36,CA,1610465077
282,Varlamovo,53.1897,48.4226,-4.27,92,86,2.86,RU,1610465078
283,Fortuna,40.5982,-124.1573,57.0,94,90,21.85,US,1610465078
284,Roura,4.7263,-52.3274,77.0,100,75,9.22,GF,1610465078
285,Stephenville,32.2207,-98.2023,34.0,100,1,8.16,US,1610464844
286,Khasan,42.4308,130.6434,23.11,91,100,4.12,RU,1610465078
287,Tual,-5.6667,132.75,84.25,77,99,6.67,ID,1610465078
288,Churapcha,62.0025,132.4325,-47.92,75,79,3.98,RU,1610465079
289,Eureka,40.8021,-124.1637,57.0,88,100,5.99,US,1610465079
290,Bilibino,68.0546,166.4372,-25.71,78,30,5.06,RU,1610465079
291,Jūrmala,56.968,23.7704,28.4,93,90,14.97,LV,1610465079
292,San Jose,37.3394,-121.895,48.0,87,90,5.75,US,1610465001
293,Manggar,-2.8833,108.2667,78.73,87,100,9.69,ID,1610465080
294,Marystown,47.1666,-55.1483,31.93,92,100,10.71,CA,1610465080
295,Esperance,-33.8667,121.9,62.6,77,40,11.5,AU,1610465081
296,Pevek,69.7008,170.3133,-33.77,85,29,1.52,RU,1610465081
297,Verkhnevilyuysk,63.4453,120.3167,-41.96,80,90,2.19,RU,1610465081
298,Cherskiy,68.75,161.3,-32.71,82,27,2.89,RU,1610465081
299,Port-Gentil,-0.7193,8.7815,84.2,79,40,12.66,GA,1610465081
300,Sahuaripa,29.05,-109.2333,43.52,59,0,2.48,MX,1610465082
301,Klyuchi,52.2667,79.1667,18.77,97,98,9.64,RU,1610465083
302,Digha,21.6833,87.55,71.82,68,1,5.53,IN,1610465083
303,Kavaratti,10.5669,72.642,82.98,72,100,8.55,IN,1610465083
304,Beaverlodge,55.2166,-119.4361,10.4,92,75,5.75,CA,1610465083
305,Soldotna,60.4878,-151.0583,28.4,92,1,6.51,US,1610464951
306,Noumea,-22.2763,166.4572,80.01,94,0,2.3,NC,1610464950
307,Talaya,61.3833,152.75,-25.4,83,85,0.78,RU,1610465083
308,Khakhea,-24.6895,23.494,91.58,29,34,10.47,BW,1610465084
309,Marabu,4.4148,114.0089,77.0,100,40,3.44,MY,1610465084
310,Chernushka,56.5072,56.0766,-3.78,91,100,8.88,RU,1610465084
311,Nhulunbuy,-12.2333,136.7667,80.6,94,17,3.58,AU,1610465084
312,Ust-Kuyga,70.0167,135.6,-41.96,74,0,5.01,RU,1610465084
313,Guiren,33.6697,118.1889,37.74,74,0,11.59,CN,1610465085
314,Lødingen,68.414,15.9951,30.2,50,0,17.27,NO,1610465085
315,Imuris,30.7833,-110.8667,38.25,64,0,11.48,MX,1610465085
316,East London,-33.0153,27.9116,73.4,88,90,10.36,ZA,1610465085
317,Danielskuil,-28.1887,23.5395,74.03,57,81,8.68,ZA,1610465086
318,Sinjai,-5.1241,120.253,77.92,86,99,5.23,ID,1610465086
319,Hithadhoo,-0.6,73.0833,82.02,78,88,18.68,MV,1610465086
320,Sánchez,19.2281,-69.6137,80.6,78,75,6.87,DO,1610465086
321,Pacific Grove,36.6177,-121.9166,42.8,87,1,4.61,US,1610465086
322,Rapid Valley,44.0625,-103.1463,39.0,51,1,6.91,US,1610465086
323,Berlevåg,70.8578,29.0864,12.2,67,0,26.46,NO,1610465086
324,Lajas,18.05,-67.0593,84.0,52,0,5.99,PR,1610465087
325,Koumra,8.9126,17.5539,97.9,9,54,2.68,TD,1610465087
326,San Ramon,37.7799,-121.978,50.0,87,1,4.61,US,1610465029
327,Korla,41.7597,86.1469,17.73,81,0,3.2,CN,1610465087
328,Wajir,1.7471,40.0573,93.09,23,20,12.39,KE,1610465087
329,Houma,29.5958,-90.7195,37.99,87,90,8.05,US,1610465087
330,Līvāni,56.3543,26.1758,27.46,97,100,13.31,LV,1610465088
331,La Unión,-5.4,-80.75,82.04,50,4,9.71,PE,1610465088
332,Hobyo,5.3505,48.5268,76.77,72,0,20.92,SO,1610465088
333,Vung Tau,10.346,107.0843,75.07,71,0,17.07,VN,1610465088
334,Kirakira,-10.4544,161.9205,77.76,91,100,12.37,SB,1610465088
335,Morros,-9.4467,-46.3003,93.0,44,3,2.35,BR,1610465088
336,Nouadhibou,20.931,-17.0347,73.4,38,0,16.11,MR,1610465088
337,Isangel,-19.55,169.2667,80.47,79,100,5.3,VU,1610465089
338,Hualmay,-11.0964,-77.6139,74.37,72,54,9.1,PE,1610465089
339,Changde,29.0464,111.6783,46.0,25,0,8.01,CN,1610465089
340,Gull Lake,50.1001,-108.4847,23.0,80,20,9.22,CA,1610465089
341,Saint-Leu,-21.15,55.2833,78.8,83,75,4.61,RE,1610465089
342,Sur,22.5667,59.5289,67.93,52,0,10.56,OM,1610465089
343,Chulym,55.0997,80.9572,-11.33,86,100,14.14,RU,1610465089
344,Batemans Bay,-35.7167,150.1833,66.0,96,98,4.63,AU,1610465090
345,Los Llanos de Aridane,28.6585,-17.9182,64.4,63,75,11.5,ES,1610465090
346,Coahuayana Viejo,18.7333,-103.6833,69.8,56,40,2.86,MX,1610465090
347,Lagunas,-5.2269,-75.6753,75.85,94,99,3.27,PE,1610465091
348,Ishigaki,24.3448,124.1572,58.59,61,0,17.56,JP,1610465091
349,Lüderitz,-26.6481,15.1594,72.55,62,0,25.26,NA,1610465091
350,Samaná,19.2056,-69.3369,78.8,89,40,9.82,DO,1610465092
351,Canutama,-6.5339,-64.3831,89.22,55,89,4.21,BR,1610465092
352,Pangnirtung,66.1451,-65.7125,1.4,92,75,2.3,CA,1610465093
353,Saint-Pierre,-21.3393,55.4781,78.8,83,75,4.61,RE,1610465093
354,Poyarkovo,49.6,128.6833,-0.87,93,100,5.93,RU,1610465093
355,Diamantino,-14.4086,-56.4461,85.86,65,72,2.15,BR,1610465093
356,Luján,-34.5703,-59.105,75.0,31,58,1.99,AR,1610465093
